CNN Model,Input Type,Target Type,Day,Hour,F1 Score,Jaccard Index
cgnet,rois,binary,1,8am,0.856270968914032,0.7486659288406372
cgnet,rois,binary,1,9am,0.8908659815788269,0.8032085299491882
cgnet,rois,binary,1,10am,0.8719806671142578,0.7730192542076111
cgnet,rois,binary,1,11am,0.8793517351150513,0.7846813201904297
cgnet,rois,binary,1,12pm,0.898876428604126,0.8163265585899353
cgnet,rois,binary,1,1pm,0.890666663646698,0.8028846383094788
cgnet,rois,binary,1,2pm,0.9075531959533693,0.8307527899742126
cgnet,rois,binary,1,3pm,0.8970804810523987,0.8133689761161804
cgnet,rois,binary,1,4pm,0.8838728666305542,0.7919105887413025
cgnet,rois,binary,1,5pm,0.8816497325897217,0.7883484959602356
cgnet,rois,binary,1,6pm,0.8887574076652527,0.7997869849205017
cgnet,rois,binary,1,7pm,0.9018117785453796,0.8211814761161804
cgnet,rois,binary,1,8pm,0.8901391625404358,0.8020277619361877
cgnet,rois,binary,2,8am,0.9354928731918336,0.8788037896156311
cgnet,rois,binary,2,9am,0.9552708864212036,0.914371907711029
cgnet,rois,binary,2,10am,0.953818678855896,0.9117145538330078
cgnet,rois,binary,2,11am,0.9471794366836548,0.8996589779853821
cgnet,rois,binary,2,12pm,0.9520274996757508,0.9084470272064208
cgnet,rois,binary,2,1pm,0.9560394287109376,0.9157811999320984
cgnet,rois,binary,2,2pm,0.9513134360313416,0.9071475267410278
cgnet,rois,binary,2,3pm,0.9179210662841796,0.8482939600944519
cgnet,rois,binary,2,4pm,0.943874716758728,0.8937147259712219
cgnet,rois,binary,2,5pm,0.912916362285614,0.8397848010063171
cgnet,rois,binary,2,6pm,0.9152204990386964,0.8436926007270813
cgnet,rois,binary,2,7pm,0.9322413802146912,0.8730824589729309
cgnet,rois,binary,2,8pm,0.9346094727516174,0.8772459030151367
cgnet,rois,binary,3,8am,0.9564634561538696,0.9165595769882202
cgnet,rois,binary,3,9am,0.965723991394043,0.9337198138237
cgnet,rois,binary,3,10am,0.968725562095642,0.939348042011261
cgnet,rois,binary,3,11am,0.9691913723945618,0.9402244091033936
cgnet,rois,binary,3,12pm,0.9709141850471495,0.9434724450111388
cgnet,rois,binary,3,1pm,0.966748297214508,0.9356367588043212
cgnet,rois,binary,3,2pm,0.9649887084960938,0.9323460459709167
cgnet,rois,binary,3,3pm,0.9514184594154358,0.907338559627533
cgnet,rois,binary,3,4pm,0.9655369520187378,0.9333701729774476
cgnet,rois,binary,3,5pm,0.9482325911521912,0.9015610814094543
cgnet,rois,binary,3,6pm,0.95606529712677,0.9158286452293396
cgnet,rois,binary,3,7pm,0.961480677127838,0.9258187413215636
cgnet,rois,binary,3,8pm,0.9670220017433168,0.9361496567726136
cgnet,rois,binary,4,8am,0.969731628894806,0.94124174118042
cgnet,rois,binary,4,9am,0.9700419306755066,0.941826581954956
cgnet,rois,binary,4,10am,0.9686935544013976,0.9392878413200378
cgnet,rois,binary,4,11am,0.9746955633163452,0.950640082359314
cgnet,rois,binary,4,12pm,0.976404309272766,0.9538964033126832
cgnet,rois,binary,4,1pm,0.97858065366745,0.9580596089363098
cgnet,rois,binary,4,2pm,0.9766809344291688,0.9544246792793274
cgnet,rois,binary,4,3pm,0.9684581756591796,0.9388452768325806
cgnet,rois,binary,4,4pm,0.9713784456253052,0.944349765777588
cgnet,rois,binary,4,5pm,0.9660444259643556,0.9343190789222716
cgnet,rois,binary,4,6pm,0.9722685813903807,0.946033775806427
cgnet,rois,binary,4,7pm,0.9657306671142578,0.9337323307991028
cgnet,rois,binary,4,8pm,0.9740952253341676,0.9494986534118652
cgnet,rois,binary,5,8am,0.9740567803382874,0.9494255781173706
cgnet,rois,binary,5,9am,0.9771803021430968,0.9553788304328918
cgnet,rois,binary,5,10am,0.9783482551574708,0.9576141834259032
cgnet,rois,binary,5,11am,0.9775800704956056,0.9561434388160706
cgnet,rois,binary,5,12pm,0.977156698703766,0.9553337097167968
cgnet,rois,binary,5,1pm,0.9796736836433412,0.96015727519989
cgnet,rois,binary,5,2pm,0.9792878031730652,0.9594161510467528
cgnet,rois,binary,5,3pm,0.9757180213928224,0.9525873064994812
cgnet,rois,binary,5,4pm,0.9808182716369628,0.9623585939407348
cgnet,rois,binary,5,5pm,0.9725828766822816,0.946628987789154
cgnet,rois,binary,5,6pm,0.978981912136078,0.95882910490036
cgnet,rois,binary,5,7pm,0.9786713123321532,0.9582334756851196
cgnet,rois,binary,5,8pm,0.9767370820045472,0.9545318484306335
cgnet,rois,binary,6,8am,0.9786219000816344,0.9581387042999268
cgnet,rois,binary,6,9am,0.981905460357666,0.964454174041748
cgnet,rois,binary,6,10am,0.9808256030082704,0.9623727202415466
cgnet,rois,binary,6,11am,0.9782185554504396,0.9573657512664796
cgnet,rois,binary,6,12pm,0.9813538193702698,0.9633902311325072
cgnet,rois,binary,6,1pm,0.983778715133667,0.9680752754211426
cgnet,rois,binary,6,2pm,0.98231041431427,0.9652358293533324
