CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,Jaccard Index,TP,FP,FN,TN
cgnet,rois,binary,1,8am,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,9am,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,10am,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,11am,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,12pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,1pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,2pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,3pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,4pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,5pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,6pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,7pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,8pm,1,0.0,,1944000,0,0,0
cgnet,rois,binary,1,8am,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,9am,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,10am,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,11am,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,12pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,1pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,2pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,3pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,4pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,5pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,6pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,7pm,2,0.0,0.0,1943945,5,50,0
cgnet,rois,binary,1,8pm,2,0.0,0.0,1943950,0,50,0
cgnet,rois,binary,1,8am,3,0.878923773765564,0.7839999794960022,1943125,6,183,686
cgnet,rois,binary,1,9am,3,0.8828025460243225,0.7901938557624817,1943123,8,176,693
cgnet,rois,binary,1,10am,3,0.8905660510063171,0.8027210831642151,1943118,13,161,708
cgnet,rois,binary,1,11am,3,0.8876262903213501,0.7979568839073181,1943119,12,166,703
cgnet,rois,binary,1,12pm,3,0.8867805004119873,0.7965909242630005,1943120,11,168,701
cgnet,rois,binary,1,1pm,3,0.8836618065834045,0.7915717363357544,1943122,9,174,695
cgnet,rois,binary,1,2pm,3,0.8820905089378357,0.7890536189079285,1943123,8,177,692
cgnet,rois,binary,1,3pm,3,0.8897243142127991,0.8013544082641602,1943114,17,159,710
cgnet,rois,binary,1,4pm,3,0.877237856388092,0.7813211679458618,1943122,9,183,686
cgnet,rois,binary,1,5pm,3,0.8730964660644531,0.7747747898101807,1943112,19,181,688
cgnet,rois,binary,1,6pm,3,0.8870765566825867,0.7970687747001648,1943113,18,162,707
cgnet,rois,binary,1,7pm,3,0.8869235515594482,0.7968217730522156,1943119,12,167,702
cgnet,rois,binary,1,8pm,3,0.8871989846229553,0.7972665429115295,1943122,9,169,700
cgnet,rois,binary,1,8am,4,0.9475771188735962,0.9003767371177673,1941611,10,228,2151
cgnet,rois,binary,1,9am,4,0.9509997963905334,0.9065772891044616,1941613,8,215,2164
cgnet,rois,binary,1,10am,4,0.9593073725700378,0.921796977519989,1941596,25,163,2216
cgnet,rois,binary,1,11am,4,0.954396665096283,0.9127712845802308,1941604,17,192,2187
