CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,1,8am,0.7631756663322449,0.5377734899520874,0.0,0.0,1.0,1.0,1.0,0.6170445084571838,0.3677771091461181,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,9am,0.7951143980026245,0.5679658651351929,0.0,0.0,0.0,1.0,1.0,0.659908652305603,0.3966147601604461,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,10am,0.7945467829704285,0.5699312090873718,0.0,0.0,0.0,1.0,1.0,0.6591269969940186,0.3985341489315033,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,11am,0.7929742932319641,0.5687675476074219,0.0,0.0,0.0,1.0,1.0,0.6569655537605286,0.3973970413208008,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,12pm,0.8007553219795227,0.5765368342399597,0.0,0.0,0.0,1.0,1.0,0.6677164435386658,0.4050240814685821,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,1pm,0.7911196947097778,0.5662475824356079,0.0,1.0,1.0,1.0,1.0,0.6544235348701477,0.394940972328186,0.0,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,2pm,0.7835285663604736,0.5590445399284363,0.0,0.0,1.0,1.0,1.0,0.6440994739532471,0.387967973947525,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,3pm,0.7919315099716187,0.564135730266571,0.0,1.0,1.0,1.0,1.0,0.6555352807044983,0.3928893208503723,0.0,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,4pm,0.8014521598815918,0.5761280059814453,0.0,0.0,0.0,1.0,1.0,0.668686032295227,0.4046206474304199,0.0,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,5pm,0.7817156910896301,0.5545616149902344,0.0,0.0,1.0,1.0,1.0,0.6416528820991516,0.3836632668972015,0.0,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,6pm,0.77532559633255,0.5507018566131592,0.0,0.0,1.0,1.0,1.0,0.633087158203125,0.3799782693386078,0.0,0.0,1.0,1.0,1.0
