CNN Model,Input Type,Target Type,Trial,Day,Hour,F1 Score,Jaccard Index,TP,FP,FN,TN
cgnet,rois,binary,1,8am,1,0.8783831596374512,0.7831401228904724,1939255,55,974,3716
cgnet,rois,binary,1,9am,1,0.8943241834640503,0.8088484406471252,1939276,34,869,3821
cgnet,rois,binary,1,10am,1,0.8907385468482971,0.8030014634132385,1939269,41,891,3799
cgnet,rois,binary,1,11am,1,0.9054899215698242,0.827301561832428,1939275,35,781,3909
cgnet,rois,binary,1,12pm,1,0.8973641395568848,0.8138354420661926,1939273,37,843,3847
cgnet,rois,binary,1,1pm,1,0.8757438659667969,0.778954029083252,1939277,33,1011,3679
cgnet,rois,binary,1,2pm,1,0.8765432238578796,0.7802197933197021,1939268,42,998,3692
cgnet,rois,binary,1,3pm,1,0.8929117321968079,0.8065406680107117,1939291,19,892,3798
cgnet,rois,binary,1,4pm,1,0.8984765410423279,0.8156672120094299,1939264,46,827,3863
cgnet,rois,binary,1,5pm,1,0.9066016674041748,0.8291596174240112,1939288,22,783,3907
cgnet,rois,binary,1,6pm,1,0.8952714800834656,0.8103994727134705,1939269,41,856,3834
cgnet,rois,binary,1,7pm,1,0.8957969546318054,0.8112610578536987,1939258,52,843,3847
cgnet,rois,binary,1,8pm,1,0.8822487592697144,0.7893068194389343,1939268,42,955,3735
cgnet,rois,binary,1,8am,2,0.9676631093025208,0.9373520612716676,1910208,536,1581,31675
cgnet,rois,binary,1,9am,2,0.9711591601371764,0.9439352750778198,1910503,241,1637,31619
cgnet,rois,binary,1,10am,2,0.9709333777427672,0.9435087442398072,1910632,112,1773,31483
cgnet,rois,binary,1,11am,2,0.972609281539917,0.9466790556907654,1910561,183,1600,31656
cgnet,rois,binary,1,12pm,2,0.97111177444458,0.943845808506012,1910592,152,1724,31532
cgnet,rois,binary,1,1pm,2,0.9706156849861144,0.9429090023040771,1910387,357,1562,31694
cgnet,rois,binary,1,2pm,2,0.971790850162506,0.9451295137405396,1910266,478,1373,31883
cgnet,rois,binary,1,3pm,2,0.9701970815658568,0.9421191811561584,1909930,814,1158,32098
cgnet,rois,binary,1,4pm,2,0.9731109142303468,0.9476299285888672,1910393,351,1409,31847
cgnet,rois,binary,1,5pm,2,0.9665814638137816,0.935324251651764,1909845,899,1310,31946
cgnet,rois,binary,1,6pm,2,0.9705125689506532,0.9427143335342408,1910187,557,1380,31876
cgnet,rois,binary,1,7pm,2,0.969584047794342,0.9409638047218324,1910258,486,1506,31750
cgnet,rois,binary,1,8pm,2,0.9692258834838868,0.9402892589569092,1910120,624,1399,31857
cgnet,rois,binary,1,8am,3,0.976963758468628,0.9549649953842164,1887333,931,1621,54115
cgnet,rois,binary,1,9am,3,0.9815511703491212,0.9637706875801086,1888106,158,1867,53869
cgnet,rois,binary,1,10am,3,0.979800581932068,0.9604009985923768,1888140,124,2088,53648
cgnet,rois,binary,1,11am,3,0.9788426160812378,0.958561897277832,1888037,227,2092,53644
cgnet,rois,binary,1,12pm,3,0.9780275225639344,0.9569998383522034,1888070,194,2211,53525
cgnet,rois,binary,1,1pm,3,0.9749847650527954,0.9511905312538148,1887597,667,2086,53650
cgnet,rois,binary,1,2pm,3,0.9734471440315248,0.948267936706543,1887362,902,2028,53708
cgnet,rois,binary,1,3pm,3,0.9737284183502196,0.9488018751144408,1886869,1395,1530,54206
cgnet,rois,binary,1,4pm,3,0.9748719930648804,0.9509758949279784,1887436,828,1945,53791
cgnet,rois,binary,1,5pm,3,0.971249520778656,0.9441059827804564,1886874,1390,1803,53933
cgnet,rois,binary,1,6pm,3,0.9758542776107788,0.9528471231460572,1887206,1058,1620,54116
cgnet,rois,binary,1,7pm,3,0.9751309156417848,0.9514687657356262,1887150,1114,1645,54091
cgnet,rois,binary,1,8pm,3,0.9737723469734192,0.9488853216171264,1886854,1410,1511,54225
cgnet,rois,binary,1,8am,4,0.9808500409126282,0.9624197483062744,1864703,964,2016,76317
cgnet,rois,binary,1,9am,4,0.9814093112945556,0.9634972214698792,1864828,839,2051,76282
cgnet,rois,binary,1,10am,4,0.9830545783042908,0.9666738510131836,1865143,524,2104,76229
cgnet,rois,binary,1,11am,4,0.9824013710021972,0.9654114246368408,1865130,537,2191,76142
cgnet,rois,binary,1,12pm,4,0.981797993183136,0.9642467498779296,1865126,541,2279,76054
cgnet,rois,binary,1,1pm,4,0.9797040224075316,0.9602155089378356,1864748,919,2234,76099
cgnet,rois,binary,1,2pm,4,0.979845941066742,0.960488259792328,1864530,1137,2003,76330
cgnet,rois,binary,1,3pm,4,0.9783252477645874,0.9575701951980592,1863797,1870,1533,76800
cgnet,rois,binary,1,4pm,4,0.9819480776786804,0.9645363092422484,1864482,1185,1635,76698
