CNN Model,Input Type,Target Type,Trial,Day,Hour,Class 0 F1 Score,Class 1 F1 Score,Class 2 F1 Score,Class 3 F1 Score,Class 4 F1 Score,Class 5 F1 Score,Class 6 F1 Score,Class 0 Jaccard Index,Class 1 Jaccard Index,Class 2 Jaccard Index,Class 3 Jaccard Index,Class 4 Jaccard Index,Class 5 Jaccard Index,Class 6 Jaccard Index
cgnet,rois,multiclass,1,1,8am,0.7609321475028992,0.5375697612762451,0.5833333134651184,0.0,1.0,1.0,1.0,0.6141166090965271,0.367586612701416,0.4117647111415863,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,9am,0.7922714948654175,0.5667138695716858,0.5948885083198547,0.0,0.0,1.0,1.0,0.6560013294219971,0.3953948020935058,0.4233746230602264,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,10am,0.7914819717407227,0.5683854818344116,0.6059474349021912,0.0,0.0,1.0,1.0,0.6549195051193237,0.3970241248607635,0.4346661269664764,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,11am,0.7891575694084167,0.5663695335388184,0.6089864373207092,0.0,0.0,1.0,1.0,0.6517425775527954,0.3950596749782562,0.4378004670143127,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,12pm,0.797359049320221,0.5745933651924133,0.6272408962249756,0.0,0.0,1.0,1.0,0.6630067825317383,0.4031084179878235,0.4569198787212372,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,1pm,0.7882399559020996,0.5653579235076904,0.6014246940612793,1.0,1.0,1.0,1.0,0.6504918336868286,0.3940759599208832,0.4300267100334167,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,2pm,0.7807730436325073,0.5584412217140198,0.5437511801719666,1.0,1.0,1.0,1.0,0.6403836607933044,0.3873870968818664,0.3733916580677032,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,3pm,0.7896225452423096,0.5636985898017883,0.5030199289321899,1.0,1.0,1.0,1.0,0.6523771286010742,0.3924653530120849,0.3360231518745422,1.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,4pm,0.7986436486244202,0.5751234889030457,0.5772967338562012,0.0,0.0,1.0,1.0,0.6647850275039673,0.4036304056644439,0.4057745039463043,0.0,0.0,1.0,1.0
cgnet,rois,multiclass,1,1,5pm,0.7792485952377319,0.5539812445640564,0.4962674081325531,0.0,1.0,1.0,1.0,0.6383351683616638,0.3831079304218292,0.33002370595932,0.0,1.0,1.0,1.0
cgnet,rois,multiclass,1,1,6pm,0.7726465463638306,0.550132691860199,0.5518330931663513,0.0,0.0,1.0,1.0,0.629522442817688,0.379436582326889,0.3810563087463379,0.0,0.0,1.0,1.0
